('2014-06-09', 9)
('2014-06-07', 4)
('2014-06-06', 17)
('2014-06-11', 7)
('2014-06-11', 4)
('2014-06-12', 35)
('2014-06-13', 11)
('2014-06-15', 1)
('2014-06-16', 10)
('2014-06-17', 34)
('2014-06-18', 1)
('2014-06-13', 4)
('2014-06-20', 14)
('2014-06-18', 22)
('2014-06-19', 14)
('2014-06-21', 1)
('2014-06-20', 5)
('2014-06-23', 10)
('2014-06-22', 1)
('2014-06-25', 22)
('2014-06-24', 11)
('2014-06-25', 15)
('2014-06-26', 35)
('2014-06-28', 1)
('2014-06-30', 27)
('2014-07-01', 9)
('2014-06-27', 11)
('2014-06-26', 2)
('2014-07-01', 45)
('2014-07-02', 5)
('2014-07-02', 14)
('2014-07-03', 11)
('2014-07-04', 3)
('2014-07-07', 10)
('2014-07-08', 9)
('2014-07-09', 3)
('2014-07-09', 13)
('2014-07-12', 2)
('2014-07-11', 23)
('2014-07-10', 12)
('2014-07-17', 10)
('2014-07-16', 21)
('2014-07-15', 5)
('2014-07-14', 12)
('2014-07-13', 1)
('2014-07-12', 1)
('2014-07-17', 1)
('2014-07-24', 10)
('2014-07-18', 6)
('2014-07-22', 1)
('2014-07-23', 28)
('2014-07-20', 1)
('2014-07-21', 3)
('2014-08-01', 6)
('2014-07-24', 27)
('2014-07-25', 13)
('2014-07-30', 4)
('2014-08-08', 6)
('2014-08-18', 7)
('2014-08-19', 2)
('2014-08-16', 2)
('2014-08-12', 8)
('2014-08-13', 3)
('2014-08-11', 7)
('2014-08-05', 3)
('2014-08-04', 1)
('2014-08-07', 2)
('2014-08-06', 6)
('2014-08-14', 1)
('2014-08-15', 2)
('2014-08-21', 7)
('2014-08-19', 20)
('2014-08-20', 23)
('2014-08-22', 15)
('2014-08-21', 35)
('2014-08-23', 5)
('2014-08-22', 45)
('2014-08-23', 1)
('2014-08-25', 44)
('2014-08-24', 5)
('2014-08-27', 4)
('2014-08-26', 29)
('2014-08-25', 17)
('2014-08-29', 15)
('2014-08-28', 5)
('2014-08-27', 30)
('2014-08-29', 5)
('2014-08-30', 2)
('2014-08-31', 8)
('2014-09-01', 35)
('2014-09-02', 26)
('2014-09-03', 21)
('2014-09-01', 3)
('2014-09-04', 38)
('2014-09-03', 12)
('2014-09-04', 50)
('2014-09-04', 8)
('2014-09-05', 42)
('2014-09-06', 10)
('2014-09-07', 8)
('2014-09-05', 23)
('2014-09-08', 9)
('2014-09-10', 21)
('2014-09-08', 11)
